"Costco Sues for Refunds Before Supreme Court Rules on Tariff Legality","CompaniesCostco Sues for Refunds Before Supreme Court Rules on Tariff LegalityThe retail giant’s complaint requests a complete refund of duties it has already paid if the Supreme Court decides that the tariffs are unlawful.00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintA Costco Wholesale warehouse sign is seen outside of a store in Silver Spring, Md., on Aug. 5, 2023. Mandel Ngan/AFP via Getty ImagesRob Sabo12/2/2025|Updated: 12/2/20250:00X 1Retail giant Costco Wholesale Corporation filed a lawsuit against the U.S. government on Nov. 28 in an effort to lay the groundwork for refunds of tariffs collected since President Donald Trump enacted global tariff policies under the International Emergency Economic Powers Act (IEEPA).The complaint filed in the U.S. Court of International Trade in Manhattan argued that the president’s invocation of the act beginning in February illegally imposed tariffs on goods imported from Mexico, Canada, and China. Trump has said that tariffs were justified as a matter of national emergency because of the amount of fentanyl making its way into the United States from those countries, and that the global levies are a necessary tool to negotiate trade deals that level the playing field between the United States and key global trade partners.We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentRob SaboAuthorRob Sabo has worked as a business journalist for nearly two decades and covers a broad range of business topics for The Epoch Times.Author’s Selected ArticlesTexas AG Opens Investigation Into Shein for Labor, Product ViolationsDec 01, 2025Existing-Home Sales Rise to 8-Month High in October as Inventory FallsNov 20, 2025Kia Recalls 250,000 Sedans, Says Fuel Tank Could MeltNov 20, 2025Pfizer, Tris Pharma Reach $41.5 Million Settlement With Texas Over ADHD DrugNov 19, 2025","https://www.theepochtimes.com/business/economies/business/costco-sues-for-refunds-before-supreme-court-rules-on-tariff-legality-5952285"
"US Lowers Tariffs on South Korean Cars to 15 Percent","TariffsUS Lowers Tariffs on South Korean Cars to 15 PercentShares of Korean car companies rose on the announcement, which followed South Korea’s move to codify into law its investment commitments to the United States.00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintNew Hyundai cars are displayed on the sales lot at a dealership in San Leandro, Calif., on May 30, 2023. Justin Sullivan/Getty ImagesAndrew Moran12/1/2025|Updated: 12/2/20250:00X 1The U.S. tariff on South Korean automobiles will be lowered to 15 percent retroactively to Nov. 1, Commerce Secretary Howard Lutnick said.In a Dec. 1 statement posted on X, Lutnick said the White House will also remove import duties on airplane parts and “unstack” South Korea’s reciprocal tariff rate to match Japan and the European Union.We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentAndrew MoranAuthorAndrew Moran has been writing about business, economics, and finance for more than a decade. He is the author of ""The War on Cash.""Author’s Selected ArticlesUS Manufacturing Activity Slumps for 9th Straight MonthDec 01, 2025Black Friday Is Here—And Shoppers Are Planning to Be More Cautious This YearNov 28, 2025Putin Says US-backed Peace Plan Is ‘Basis for Future Agreements’Nov 27, 2025HP’s AI Push to Trim Headcount by up to 10 Percent Through 2028Nov 26, 2025","https://www.theepochtimes.com/business/economies/business/us-lowers-tariffs-on-south-korean-cars-to-15-percent-5952356"
"US Small-Business Confidence Above 52-Year Average: SBA","EconomyUS Small-Business Confidence Above 52-Year Average: SBAThe biggest concern for small businesses currently is the inability to hire skilled individuals, and not trade tariffs, SBA chief Loeffler said.00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintA small business in Weston, Vt. Brian Logan Photography/ShutterstockNaveen AthrappullyReporter12/1/2025|Updated: 12/1/20250:00X 1Small-business confidence in the United States is above its 52-year average even after accounting for the negative impacts from the 43-day federal government shutdown, Kelly Loeffler, administrator of the Small Business Administration (SBA), said during an interview with CNBC on Nov. 28.“That’s because President [Donald] Trump’s agenda has created tailwinds for small businesses that we haven’t seen in four years,” she said.We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentNaveen AthrappullyReporterNaveen Athrappully is a news reporter covering business and world events at The Epoch Times. Author’s Selected ArticlesMultiple Failures in Vetting Process of Afghans, Tom Homan SaysDec 01, 2025Silver Hits New Record High, Gold Edges UpDec 01, 2025New Vehicle Sales to Fall by Nearly 8 Percent Yearly: CoxNov 29, 2025Retail Workers Currently Earning 51.6 Percent Less Than Needed to Afford Rent: ReportNov 29, 2025","https://www.theepochtimes.com/business/economies/business/us-small-business-confidence-above-52-year-average-kelly-loeffler-5951895"
"Trump Says He’s Already Picked Powell’s Replacement as Federal Reserve Chair","US NewsTrump Says He’s Already Picked Powell’s Replacement as Federal Reserve ChairTrump has said on several occasions that he believes the Fed is stifling the economy by being too slow to cut rates.00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintPresident Donald Trump speaks to reporters aboard Air Force One en route to South Korea on Oct. 29, 2025. Andrew Harnik/Getty ImagesTom OzimekReporter12/1/2025|Updated: 12/1/20250:00X 1President Donald Trump said on Nov. 30 that he has already decided on his pick to replace Federal Reserve Chair Jerome Powell, adding that an announcement is forthcoming but declining to identify his nominee.“I know who I am going to pick, yeah,” Trump told reporters on Air Force One on his way back from Florida to Washington on Nov. 30.We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentTom OzimekReporterTom Ozimek is a senior reporter for The Epoch Times. He has a broad background in journalism, deposit insurance, marketing and communications, and adult education.Author’s Selected ArticlesFDA Internal Memo Links Child Deaths to COVID-19 VaccinationNov 29, 2025Afghan Parolee Charged With Terroristic ThreatNov 29, 2025Trump Declares Venezuelan Airspace Closed as US Intensifies Pressure on MaduroNov 29, 2025Tariff Revenue Hits Record High of $31.4 Billion in OctoberNov 28, 2025","https://www.theepochtimes.com/business/economies/us/trump-says-hes-already-picked-powells-replacement-as-federal-reserve-chair-5951815"
"1 in 4 Unemployed Americans Has a Degree—The Future of White Collar Jobs","Economy1 in 4 Unemployed Americans Has a Degree—The Future of White Collar JobsThe unemployment rate for Americans with a bachelor’s degree or higher rose to 2.8 percent in September, up from 2.3 percent a year earlier.00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintStudio Romantic /ShutterstockMary PrenonFreelance Reporter11/30/2025|Updated: 11/30/20250:00X 1With a changing economy, artificial intelligence (AI) replacing many jobs, and widespread unpreparedness for the job market, the time-honored tradition of tossing their caps in the air to celebrate earning their degrees and starting exciting new careers has turned into disappointment for many college graduates.Statistics released by the Department of Labor on Nov. 20 show that 25 percent of the 7.6 million unemployed Americans in September held at least a bachelor’s degree.We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentMary PrenonFreelance ReporterMary T. Prenon covers real estate and business. She has been a writer and reporter for over 25 years with various print and broadcast media in New York.Author’s Selected ArticlesCincinnati Leads Hot Rental Markets in Third QuarterNov 29, 2025Starbucks Workers’ Strike Expands to 85 Cities on Black FridayNov 28, 2025Gas Prices Drop to 4-Year Low Ahead of ThanksgivingNov 26, 2025Home Delistings Jump Nearly 30 Percent in September as Sellers Reject Low OffersNov 25, 2025","https://www.theepochtimes.com/business/economies/business/1-in-4-unemployed-americans-has-a-degree-the-future-of-white-collar-jobs-5950378"
"As Money Gets Tighter, More People Are Selling Gold and Silver","US NewsAs Money Gets Tighter, More People Are Selling Gold and SilverIn a 2025 survey, one gold buyer found that financial need ranked among the top reasons people were selling their precious metals. 00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintCoins displayed at FreedomFest 2024 in Las Vegas on July 11, 2024. Terry Wang/The Epoch TimesAllan Stein11/30/2025|Updated: 11/30/20250:00X 1PHOENIX—For years, Jakob stacked silver coins and bullion, building his treasure and waiting for the perfect moment to let it go, if that moment ever came.With prices in late 2025 rapidly rising, money running low, and the holidays approaching, he decided to sell them on Nov. 18 at the spot market price of $50.13 per ounce.We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentAllan SteinAuthorAllan Stein is a national reporter for The Epoch Times based in Arizona.Author’s Selected ArticlesCoal Mine Fire Still Burning, Decades After Driving Residents OutNov 18, 2025Cremation Will Outpace Burial 6-to-1 by 2045, New Report SaysNov 17, 2025Vietnam Veterans Memorial Celebrates All Who Served on Veterans DayNov 11, 2025220,295 Bridges in US Need Repair or Replacement–Here’s What 1 State Is DoingNov 02, 2025","https://www.theepochtimes.com/business/economies/us/as-money-gets-tighter-more-people-are-selling-gold-and-silver-5951131"
"Shoppers Spend Billions on Black Friday to Snag Holiday Deals","EconomyShoppers Spend Billions on Black Friday to Snag Holiday Deals00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintShoppers browse through stores at Mall of America for Black Friday deals in Bloomington, Minn., on Nov. 28, 2025. Adam Bettcher/AP PhotoThe Associated Press11/29/2025|Updated: 12/1/20250:00X 1NEW YORK—Despite wider economic uncertainty hovering above this year’s holiday season, shoppers turned out in big numbers for Black Friday—spending billions of dollars both in stores and online.Adobe Analytics, which tracks e-commerce, said U.S. consumers spent a record $11.8 billion online Friday, marking a 9.1 percent jump from last year. Traffic particularly piled up between the hours of 10 a.m. and 2 p.m. local time nationwide, when $12.5 million passed through online shopping carts every minute.We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentThe Associated PressAuthorAuthor’s Selected ArticlesNortheast Prepares for First Major Snowstorm of SeasonDec 02, 2025Congo Declares Its Latest Ebola Outbreak Over, After 43 DeathsDec 02, 2025How Major US Stock Indexes Fared Dec. 1Dec 01, 2025Consumers Should Do Their Research Before Giving in to Travel Tuesday TemptationDec 01, 2025","https://www.theepochtimes.com/business/economies/business/shoppers-spend-billions-on-black-friday-to-snag-holiday-deals-5951496"
"New Vehicle Sales to Fall by Nearly 8 Percent Yearly: Cox","US NewsNew Vehicle Sales to Fall by Nearly 8 Percent Yearly: CoxAs more tariffed products replace existing non-tariffed inventory, vehicle prices move up, resulting in slower sales, said an economist.00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintVehicles for sale are on display at a Toyota dealership in Houston on Jan. 4, 2022. Brandon Bell/Getty ImagesNaveen AthrappullyReporter11/29/2025|Updated: 11/29/20250:00X 1Sales of new cars in November are estimated to decline amid higher prices and slowing electric vehicle (EV) volume, auto services company Cox Automotive said in a Nov. 25 statement.“Sales volume is expected to fall to 1.27 million, down 1% from October and 7.8% from last year’s finish,” the company said. “November has 25 selling days, two fewer than last month and down one from last year, which accounts for some of the expected volume decline.”We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentNaveen AthrappullyReporterNaveen Athrappully is a news reporter covering business and world events at The Epoch Times. Author’s Selected ArticlesMultiple Failures in Vetting Process of Afghans, Tom Homan SaysDec 01, 2025Silver Hits New Record High, Gold Edges UpDec 01, 2025US Small-Business Confidence Above 52-Year Average: SBADec 01, 2025Retail Workers Currently Earning 51.6 Percent Less Than Needed to Afford Rent: ReportNov 29, 2025","https://www.theepochtimes.com/business/economies/us/new-vehicle-sales-to-fall-by-nearly-8-percent-yearly-cox-5951355"
"Cincinnati Leads Hot Rental Markets in Third Quarter","US Real EstateCincinnati Leads Hot Rental Markets in Third QuarterThe third quarter is typically the busiest time of year for moving, according to Rent Cafe.00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintCincinnati skyline on May 9, 2025. Madalina Vasiliu/The Epoch TimesMary PrenonFreelance Reporter11/29/2025|Updated: 11/29/20250:00X 1Cincinnati jumped to the top of the apartment hot list in the third quarter of this year.A Nov. 24 report from Rent Cafe shows that the “Queen of the West” climbed four spots in the ranking, edging out Washington, D.C., as the most coveted locale for apartment dwelling. Overall, the Midwest gained momentum among renters looking for more affordable options, with 11 cities ranking among America’s 30 most popular rental markets.We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentMary PrenonFreelance ReporterMary T. Prenon covers real estate and business. She has been a writer and reporter for over 25 years with various print and broadcast media in New York.Author’s Selected Articles1 in 4 Unemployed Americans Has a Degree—The Future of White Collar JobsNov 30, 2025Starbucks Workers’ Strike Expands to 85 Cities on Black FridayNov 28, 2025Gas Prices Drop to 4-Year Low Ahead of ThanksgivingNov 26, 2025Home Delistings Jump Nearly 30 Percent in September as Sellers Reject Low OffersNov 25, 2025","https://www.theepochtimes.com/business/economies/business/cincinnati-leads-hot-rental-markets-in-third-quarter-5951254"
"Black Friday Online Sales Hit $8.6 Billion, Says Adobe Analytics","BusinessBlack Friday Online Sales Hit $8.6 Billion, Says Adobe Analytics00CopyFacebookXTruthGettrLinkedInTelegramEmailSavePrintPeople visit Garden State Plaza during Black Friday shopping in Paramus, N.J., on Nov. 28, 2025. Eduardo Munoz Alvarez/Getty ImagesReuters11/28/2025|Updated: 11/28/20250:00X 1U.S. shoppers spent $8.6 billion online on Black Friday, an Adobe Analytics report showed, as more consumers turned to laptops and phones instead of braving brisk weather to snap up deals during the holiday shopping weekend.Online spending rose 9.4 percent through 6:30 p.m. ET on Black Friday compared with last year, according to Adobe Inc’s data and insights arm, which vets e-commerce transactions, covering more than 1 trillion visits to U.S. retail sites.We had a problem loading this article. Please enable javascript or use a different browser. If the issue persists, please visit our help center.Share this articleLeave a commentReutersAuthorAuthor’s Selected ArticlesStarbucks Will Pay $38.9 Million to Settle NYC Probe Over Worker SchedulesDec 02, 2025Eli Lilly Cuts Zepbound Price to Widen Access for Obesity DrugDec 02, 2025China Says Armed Attack on Tajik-Afghan Border Kills 3 of Its NationalsDec 01, 2025Tropical Storm Deaths Top 600 in Southeast Asia, Over 4 Million AffectedNov 30, 2025","https://www.theepochtimes.com/business/economies/business/black-friday-online-sales-hit-8-6-billion-says-adobe-analytics-5951284"
